type,date_time,category,account,amount,currency,tags,period,net_amount
income,2025-11-29,Job,acct_1,49.0,BYN,tag_1,2025-11,49.0
income,2025-11-29,Job,acct_1,18.0,BYN,tag_2,2025-11,18.0
income,2025-11-29,Job,acct_1,32.0,BYN,tag_3,2025-11,32.0
income,2025-11-29,Job,acct_1,109.0,BYN,tag_4,2025-11,109.0
income,2025-11-25,Job,acct_1,18.0,BYN,tag_1,2025-11,18.0
income,2025-11-22,Job,acct_1,44.0,BYN,tag_1,2025-11,44.0
income,2025-11-22,Job,acct_1,10.0,BYN,tag_2,2025-11,10.0
income,2025-11-22,Job,acct_1,11.0,BYN,tag_3,2025-11,11.0
income,2025-11-20,Job,acct_1,133.0,BYN,tag_4,2025-11,133.0
income,2025-11-18,Job,acct_1,17.0,BYN,tag_1,2025-11,17.0
income,2025-11-15,Job,acct_1,49.0,BYN,tag_2,2025-11,49.0
income,2025-11-15,Job,acct_1,19.0,BYN,tag_1,2025-11,19.0
income,2025-11-15,Job,acct_1,31.0,BYN,tag_3,2025-11,31.0
income,2025-11-13,Job,acct_1,31.0,BYN,tag_4,2025-11,31.0
income,2025-11-11,Job,acct_1,17.0,BYN,tag_1,2025-11,17.0
income,2025-11-11,Job,acct_1,76.0,BYN,tag_4,2025-11,76.0
income,2025-11-08,Job,acct_1,49.0,BYN,tag_2,2025-11,49.0
income,2025-11-08,Job,acct_1,10.0,BYN,tag_1,2025-11,10.0
income,2025-11-08,Job,acct_1,38.0,BYN,tag_3,2025-11,38.0
income,2025-11-01,Job,acct_1,28.0,BYN,tag_3,2025-11,28.0
income,2025-10-27,Job,acct_1,40.0,BYN,tag_1,2025-10,40.0
income,2025-10-22,Job,acct_1,30.0,BYN,tag_2,2025-10,30.0
income,2025-10-18,Job,acct_1,300.0,BYN,tag_1,2025-10,300.0
income,2025-10-10,Job,acct_1,150.0,BYN,tag_3,2025-10,150.0
income,2025-10-05,Job,acct_1,150.0,BYN,tag_1,2025-10,150.0
